title,Title,Genre,keywords,tagline,Description,runtime,release_date,homepage,original_language,spoken_languages,production_countries,production_companies,budget,revenue,vote_count,Rating
The Hobbit: The Desolation of Smaug,The Hobbit: The Desolation of Smaug,"Adventure, Fantasy","elves, dwarves, orcs, hobbit, dragon, wizard, sword and sorcery",Beyond darkness... beyond desolation... lies the greatest danger of all.,"The Dwarves, Bilbo and Gandalf have successfully escaped the Misty Mountains, and Bilbo has gained the One Ring. They all continue their journey to get their gold back from the Dragon, Smaug.",161,11/12/2013,http://www.thehobbit.com/,en,English,"New Zealand, United States of America","WingNut Films, New Line Cinema, Warner Bros. Pictures, Metro-Goldwyn-Mayer (MGM)",250000000,958400000,4524,7.6
The Golden Compass,The Golden Compass,"Adventure, Fantasy","england, compass, experiment, lordship, uncle, polar bear, orphan, animal, based on young adult novel",There are worlds beyond our own - the compass will show the way.,"After overhearing a shocking secret, precocious orphan Lyra Belacqua trades her carefree existence roaming the halls of Jordan College for an otherworldly adventure in the far North, unaware that it's part of her destiny.",113,04/12/2007,http://www.goldencompassmovie.com/index_german.html,en,"Íslenska, English, Pусский, Français","United Kingdom, United States of America","New Line Cinema, Ingenious Film Partners, Depth of Field, Scholastic Productions",180000000,372234864,1303,5.8
King Kong,King Kong,"Adventure, Drama, Action","film business, screenplay, show business, film making, film producer, exotic island, monster, indigenous, ship, dinosaur",The eighth wonder of the world.,"In 1933 New York, an overly ambitious movie producer coerces his cast and hired ship crew to travel to mysterious Skull Island, where they encounter Kong, a giant ape who is immediately smitten with the leading lady.",187,14/12/2005,,en,English,"New Zealand, United States of America, Germany","WingNut Films, Universal Pictures, Big Primate Pictures, MFPV Film",207000000,550000000,2337,6.6
Titanic,Titanic,"Drama, Romance, Thriller","shipwreck, iceberg, ship, panic, titanic, ocean liner, epic, rich woman - poor man, love, disaster, tragic love, class differences, imax, star crossed lovers, steerage, salvage, rich snob, 3d, 1910s",Nothing on Earth could come between them.,"84 years later, a 101-year-old woman named Rose DeWitt Bukater tells the story to her granddaughter Lizzy Calvert, Brock Lovett, Lewis Bodine, Bobby Buell and Anatoly Mikailavich on the Keldysh about her life set in April 10th 1912, on a ship called Titanic when young Rose boards the departing ship with the upper-class passengers and her mother, Ruth DeWitt Bukater, and her fiancé, Caledon Hockley. Meanwhile, a drifter and artist named Jack Dawson and his best friend Fabrizio De Rossi win third-class tickets to the ship in a game. And she explains the whole story from departure until the death of Titanic on its first and last voyage April 15th, 1912 at 2:20 in the morning.",194,18/11/1997,http://www.titanicmovie.com,en,"English, Français, Deutsch, svenska, Italiano, Pусский",United States of America,"Paramount Pictures, Twentieth Century Fox Film Corporation, Lightstorm Entertainment",200000000,1845034188,7562,7.5
Captain America: Civil War,Captain America: Civil War,"Adventure, Action, Science Fiction","civil war, war, marvel comic, sequel, superhero, based on comic book, imax, aftercreditsstinger, duringcreditsstinger, marvel cinematic universe, 3d",Divided We Fall,"Following the events of Age of Ultron, the collective governments of the world pass an act designed to regulate all superhuman activity. This polarizes opinion amongst the Avengers, causing two factions to side with Iron Man or Captain America, which causes an epic battle between former allies.",147,27/04/2016,http://marvel.com/captainamericapremiere,en,"Română, English, Deutsch, Pусский",United States of America,"Studio Babelsberg, Marvel Studios, Walt Disney Studios Motion Pictures, Vita-Ray Dutch Productions (III), Deluxe Digital Studios",250000000,1153304495,7241,7.1
Battleship,Battleship,"Thriller, Action, Adventure, Science Fiction","fight, u.s. navy, mind reading, hong kong, soccer, scientist, fictional war, naval, armada, battleship, naval combat, jds myoko, lost communication, taser, buoy, communications expert, joint chiefs of staff, crash landing, jet fighter pilot, navy lieutenant, permission to marry, uss john paul jones, based on board game, aftercreditsstinger, mighty mo, uss missouri",The Battle for Earth Begins at Sea,"When mankind beams a radio signal into space, a reply comes from ‘Planet G’, in the form of several alien crafts that splash down in the waters off Hawaii. Lieutenant Alex Hopper is a weapons officer assigned to the USS John Paul Jones, part of an international naval coalition which becomes the world's last hope for survival as they engage the hostile alien force of unimaginable strength. While taking on the invaders, Hopper must also try to live up to the potential his brother, and his fiancée's father, Admiral Shane, expect of him.",131,11/04/2012,,en,"English, ภาษาไทย",United States of America,"Universal Pictures, Hasbro, Bluegrass Films, Film 44",209000000,303025485,2114,5.5
Jurassic World,Jurassic World,"Action, Adventure, Science Fiction, Thriller","monster, dna, tyrannosaurus rex, velociraptor, island, sequel, suspense, disaster, escape, dinosaur, amusement park, animal attack, theme park, jurassic park, 3d, animal horror",The park is open.,"Twenty-two years after the events of Jurassic Park, Isla Nublar now features a fully functioning dinosaur theme park, Jurassic World, as originally envisioned by John Hammond.",124,09/06/2015,http://www.jurassicworld.com/,en,English,United States of America,"Universal Studios, Amblin Entertainment, Legendary Pictures, Fuji Television Network, Dentsu",150000000,1513528810,8662,6.5
Skyfall,Skyfall,"Action, Adventure, Thriller","spy, secret agent, sociopath, killer, art gallery, british secret service, istanbul turkey, imax, uzi, booby trap, impersonating a police officer, macao",Think on your sins.,"When Bond's latest assignment goes gravely wrong and agents around the world are exposed, MI6 is attacked forcing M to relocate the agency. These events cause her authority and position to be challenged by Gareth Mallory, the new Chairman of the Intelligence and Security Committee. With MI6 now compromised from both inside and out, M is left with one ally she can trust: Bond. 007 takes to the shadows - aided only by field agent, Eve - following a trail to the mysterious Silva, whose lethal and hidden motives have yet to reveal themselves.",143,25/10/2012,http://www.skyfall-movie.com,en,English,"United Kingdom, United States of America",Columbia Pictures,200000000,1108561013,7604,6.9
Spider-Man 2,Spider-Man 2,"Action, Adventure, Fantasy","dual identity, love of one's life, pizza boy, marvel comic, sequel, superhero, doctor, scientist, tentacle, death, super villain",There's a hero in all of us.,"Peter Parker is going through a major identity crisis. Burned out from being Spider-Man, he decides to shelve his superhero alter ego, which leaves the city suffering in the wake of carnage left by the evil Doc Ock. In the meantime, Parker still can't act on his feelings for Mary Jane Watson, a girl he's loved since childhood.",127,25/06/2004,http://www.sonypictures.com/movies/spider-man2/,en,"English, Pусский, 普通话",United States of America,"Columbia Pictures, Laura Ziskin Productions, Marvel Enterprises",200000000,783766341,4321,6.7
Iron Man 3,Iron Man 3,"Action, Adventure, Science Fiction","terrorist, war on terror, tennessee, malibu, marvel comic, superhero, based on comic book, tony stark, iron man, aftercreditsstinger, marvel cinematic universe, mandarin, 3d, war machine, iron patriot, extremis",Unleash the power behind the armor.,"When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",130,18/04/2013,http://marvel.com/ironman3,en,English,"China, United States of America",Marvel Studios,200000000,1215439994,8806,6.8
Alice in Wonderland,Alice in Wonderland,"Family, Fantasy, Adventure","based on novel, fictional place, queen, fantasy, alice in wonderland, fantasy world, 3d",You're invited to a very important date.,"Alice, an unpretentious and individual 19-year-old, is betrothed to a dunce of an English nobleman. At her engagement party, she escapes the crowd to consider whether to go through with the marriage and falls down a hole in the garden after spotting an unusual rabbit. Arriving in a strange and surreal place called 'Underland,' she finds herself in a world that resembles the nightmares she had as a child, filled with talking animals, villainous queens and knights, and frumious bandersnatches. Alice realizes that she is there for a reason – to conquer the horrific Jabberwocky and restore the rightful queen to her throne.",108,03/03/2010,http://disney.go.com/wonderland/,en,English,United States of America,"Walt Disney Pictures, Team Todd, Tim Burton Productions, Roth Films, Zanuck Company, The",200000000,1025491110,4645,6.4
X-Men: The Last Stand,X-Men: The Last Stand,"Adventure, Action, Science Fiction, Thriller","mutant, marvel comic, based on comic book, superhuman, beast, cyclops, aftercreditsstinger",Take a Stand,"When a cure is found to treat mutations, lines are drawn amongst the X-Men and The Brotherhood, a band of powerful mutants organized under Xavier's former ally, Magneto.",104,24/05/2006,,en,English,"Canada, United Kingdom, United States of America","Ingenious Film Partners, Twentieth Century Fox Film Corporation, Donners' Company, Dune Entertainment, Major Studio Partners, Bad Hat Harry Productions, thinkfilm, Marvel Enterprises, X3 Canada Productions, X3US Productions, XM3 Service",210000000,459359555,3525,6.3
Monsters University,Monsters University,"Animation, Family","monster, dormitory, games, animation, best friend, university, scary, aftercreditsstinger",School never looked this scary.,A look at the relationship between Mike and Sulley during their days at Monsters University — when they weren't necessarily the best of friends.,104,20/06/2013,,en,English,United States of America,"Walt Disney Pictures, Pixar Animation Studios",200000000,743559607,3528,7
Transformers: Revenge of the Fallen,Transformers: Revenge of the Fallen,"Science Fiction, Action, Adventure","egypt, sun, chaos, symbol, artifact, transformers, tank, robot, imax, duringcreditsstinger",Revenge is coming.,"Sam Witwicky leaves the Autobots behind for a normal life. But when his mind is filled with cryptic symbols, the Decepticons target him and he is dragged back into the Transformers' war.",150,19/06/2009,http://www.transformersmovie.com/,en,"English, Español",United States of America,"Paramount Pictures, DreamWorks SKG, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, Hasbro Studios, Revolution Sun Studios",150000000,836297228,3138,6
Transformers: Age of Extinction,Transformers: Age of Extinction,"Science Fiction, Action, Adventure","sequel, alien, transformers, giant robot, robot, imax, transforming robot",This is not war. It's extinction.,"As humanity picks up the pieces, following the conclusion of ""Transformers: Dark of the Moon,"" Autobots and Decepticons have all but vanished from the face of the planet. However, a group of powerful, ingenious businessman and scientists attempt to learn from past Transformer incursions and push the boundaries of technology beyond what they can control - all while an ancient, powerful Transformer menace sets Earth in his cross-hairs.",165,25/06/2014,http://www.transformersmovie.com,en,English,United States of America,"Paramount Pictures, Amblin Entertainment, Di Bonaventura Pictures, Platinum Dunes, China Movie Channel, Hasbro Studios, Ian Bryce Productions, Revolution Sun Studios",210000000,1091405097,3095,5.8
Oz: The Great and Powerful,Oz: The Great and Powerful,"Fantasy, Adventure, Family","circus, witch, magic, hope, illusion, lost, magic trick, wizard, 3d","In Oz, nothing is what it seems","Oscar Diggs, a small-time circus illusionist and con-artist, is whisked from Kansas to the Land of Oz where the inhabitants assume he's the great wizard of prophecy, there to save Oz from the clutches of evil.",130,07/03/2013,http://www.ozthegreatandpowerfulmovie.com,en,English,United States of America,"Walt Disney Pictures, Roth Films",200000000,491868548,3530,5.7
The Amazing Spider-Man 2,The Amazing Spider-Man 2,"Action, Adventure, Fantasy","obsession, marvel comic, sequel, based on comic book, electrocution, medical experiment, electricity, super powers",No more secrets.,"For Peter Parker, life is busy. Between taking out the bad guys as Spider-Man and spending time with the person he loves, Gwen Stacy, high school graduation cannot come quickly enough. Peter has not forgotten about the promise he made to Gwen’s father to protect her by staying away, but that is a promise he cannot keep. Things will change for Peter when a new villain, Electro, emerges, an old friend, Harry Osborn, returns, and Peter uncovers new clues about his past.",142,16/04/2014,http://www.theamazingspiderman.com,en,English,United States of America,"Columbia Pictures, Marvel Enterprises, Avi Arad Productions, Matt Tolmach Productions",200000000,705717432,4179,6.5
TRON: Legacy,TRON: Legacy,"Adventure, Action, Science Fiction","artificial intelligence, secret identity, computer program, dystopia, computer, deception, duel, motorcycle, neon light, autocracy",The Game Has Changed.,"Sam Flynn, the tech-savvy and daring son of Kevin Flynn, investigates his father's disappearance and is pulled into The Grid. With the help of a mysterious program named Quorra, Sam quests to stop evil dictator Clu from crossing into the real world.",125,10/12/2010,http://disney.go.com/tron/,en,English,United States of America,"Walt Disney Pictures, LivePlanet, Prana Studios, Sean Bailey Productions, Revolution Sun Studios, Kontsept Film Company",170000000,400062763,2841,6.3
Cars 2,Cars 2,"Animation, Family, Adventure, Comedy","car race, sequel, comedy, anthropomorphism, best friend, duringcreditsstinger",Ka-ciao!,Star race car Lightning McQueen and his pal Mater head overseas to compete in the World Grand Prix race. But the road to the championship becomes rocky as Mater gets caught up in an intriguing adventure of his own: international espionage.,106,11/06/2011,http://www.disney.go.com/cars/,en,"English, 日本語, Italiano, Français",United States of America,"Walt Disney Pictures, Pixar Animation Studios",200000000,559852396,2033,5.8
Green Lantern,Green Lantern,"Adventure, Action, Thriller, Science Fiction","dc comics, transformation, superhero, alien, alien infection, magical object, protector, super powers, origin, 3d","In our darkest hour, there will be light.","For centuries, a small but powerful force of warriors called the Green Lantern Corps has sworn to keep intergalactic order. Each Green Lantern wears a ring that grants him superpowers. But when a new enemy called Parallax threatens to destroy the balance of power in the Universe, their fate and the fate of Earth lie in the hands of the first human ever recruited.",114,16/06/2011,http://greenlanternmovie.warnerbros.com/,en,English,United States of America,"De Line Pictures, Warner Bros., DC Entertainment",200000000,219851172,2487,5.1
Toy Story 3,Toy Story 3,"Animation, Family, Comedy","hostage, college, toy, barbie, animation, escape, day care, teddy bear, duringcreditsstinger, toy comes to life, personification, inanimate objects coming to life, toy story",No toy gets left behind.,"Woody, Buzz, and the rest of Andy's toys haven't been played with in years. With Andy about to go to college, the gang find themselves accidentally left at a nefarious day care center. The toys must band together to escape and return home to Andy.",103,16/06/2010,http://disney.go.com/toystory/,en,"English, Español",United States of America,"Walt Disney Pictures, Pixar Animation Studios",200000000,1066969703,4597,7.6
